a			 K K K
charity			 N N N
charm			 N N N
chart			 K K K
charter			 U N N
chase			 K K K
chat			 K K K
cheap			 K K K
cheat			 U N N
cheek			 U U U
cheer			 U N N
cheese			 N N N
chef			 U U U
chemical			 K K K
chemist			 K K K
chemistry			 N N N
cheque			 U U U
cherish			 U N N
cherry			 K K K
chess			 K K K
chest			 U U U
chew			 N N N
chicken			 K K K
chief			 K K K
child			 K K K
childhood			 K K K
chill			 U N N
chimney			 U U U
chin			 U U U
china			 K K K
chip			 N N N
chocolate			 K K K
choice			 K K K
choke			 U U N
choose			 K K K
chop			 K K K
chorus			 U U U
Christ			 U U N
Christian			 U N N
Christmas			 K K K
chronic			 K K K
church			 N N N
cigar			 K K K
cigaret			 K K K
cinema			 K K K
circle			 K K K
circuit			 K K K
circular			 K K K
circulate			 N N N
circumference			 U U U
circus			 N N N
cite			 K K K
citizen			 U N N
city			 K K K
civil			 K K K
civilian			 K K K
civilization			 K K K
civilize			 K K K
claim			 N N N
clap			 K K K
clarify			 K K K
clarity			 K K K
clash			 K K K
clasp			 K K K
class			 K K K
classic			 K K K
classical			 K K K
classification			 K K K
classify			 K K K
classmate			 K K K
classroom			 K K K
clause			 U U U
claw			 U N N
clay			 U U U
clean			 K K K
clear			 K K K
clergy			 U U N
clerk			 U U N
clever			 K K K
click			 K K K
client			 K K K
cliff			 K K K
climate			 K K K
climax			 K K K
climb			 K K K
cling			 N N N
clinic			 U U U
clip			 K K K
cloak			 U N N
clock			 K K K
clockwise			 K K K
clone			 K K K
close			 K K K
closet			 K K K
cloth			 K K K
clothe			 N N N
clothes			 K K K
clothing			 N N N
cloud			 K K K
cloudy			 N N N
club			 K K K
clue			 K K K
clumsy			 U N N
cluster			 K K K
clutch			 N N N
coach			 K K K
coal			 U U U
coalition			 U U U
coarse			 U U U
coast			 U U U
coat			 U U N
cocaine			 K K K
cock			 K K K
code			 K K K
coffee			 K K K
cognitive			 K K K
coherent			 U N N
cohesive			 U U N
coil			 U N N
coin			 K K K
coincide			 K K K
coincidence			 K K K
coke			 U U N
cold			 K K K
collaborate			 K K K
collapse			 K K K
collar			 U U U
colleague			 K K K
collect			 K K K
collection			 K K K
collective			 K K K
college			 K K K
collide			 U N N
collision			 K K K
colonel			 U N N
colonial			 U N N
colony			 U N N
color			 K K K
column			 K K K
comb			 K K K
combat			 K K K
combination			 K K K
combine			 K K K
come			 K K K
comedy			 K K K
comfort			 K K K
comfortable			 K K K
comic			 U N N
command			 K K K
commemorate			 K K K
commence			 U U U
commend			 U N N
comment			 K K K
commerce			 U U N
commercial			 U U N
commission			 U U U
commit			 U N N
committee			 K K K
commodity			 K K K
common			 K K K
commonplace			 U N N
commonwealth			 U U N
communicate			 K K K
communication			 K K K
communism			 U U N
community			 K K K
commute			 K K K
compact			 K K K
companion			 K K K
company			 K K K
comparable			 K K K
comparative			 K K K
compare			 K K K
comparison			 N N N
compartment			 U N N
compass			 K K K
compassion			 U U U
compatible			 U N N
compel			 K K K
compensate			 N N N
compensation			 U N N
compete			 K K K
competent			 N N N
competition			 N N N
competitive			 K K K
compile			 K K K
complain			 K K K
complaint			 K K K
complement			 U N N
complete			 K K K
complex			 K K K
complicate			 K K K
complicated			 K K K
complication			 N N N
compliment			 U N N
comply			 U N N
component			 K K K
compose			 K K K
composite			 U N N
composition			 U N N
compound			 U N N
comprehend			 U N N
comprehension			 K K K
comprehensive			 N N N
compress			 U U N
comprise			 U U U
compromise			 U N N
compulsory			 U U U
compute			 K K K
computer			 K K K
comrade			 U N N
conceal			 U U N
concede			 K K K
conceive			 N N N
concentrate			 U N N
concentration			 U N N
concept			 K K K
concern			 K K K
concerning			 K K K
concert			 K K K
concession			 K K K
concise			 U N N
conclude			 K K K
conclusion			 K K K
concrete			 U N N
condemn			 U U N
condense			 U U U
condition			 K K K
conduct			 K K K
conductor			 K K K
confer			 U U N
conference			 U N N
confess			 U U N
confidence			 K K K
confident			 K K K
confidential			 K K K
confine			 U N N
confirm			 K K K
conflict			 K K K
NULL			 K K K
conform			 N N N
confront			 K K K
confuse			 K K K
confusion			 K K K
congratulate			 N N N
congratulation			 K K K
congress			 N N N
conjunction			 K K K
connect			 K K K
connection			 K K K
conquer			 K K K
conquest			 K K K
conscience			 K K K
conscientious			 K K K
conscious			 K K K
consecutive			 N N N
consensus			 K K K
consent			 K K K
consequence			 N N N
consequently			 K K K
conservation			 K K K
conservative			 K K K
consider			 K K K
considerable			 K K K
considerate			 K K K
consideration			 K K K
consist			 K K K
consistent			 K K K
console			 N N N
consolidate			 N N N
conspicuous			 U U N
conspiracy			 N N N
constant			 K K K
constituent			 N N N
constitute			 U N N
constitution			 U N N
constrain			 K K K
construct			 K K K
construction			 N N N
consult			 K K K
consultant			 K K K
consume			 K K K
consumption			 K K K
contact			 K K K
contain			 K K K
container			 K K K
contaminate			 U U U
contemplate			 K K K
contemporary			 K K K
contempt			 U N N
contend			 U N N
content			 K K K
contest			 N N N
context			 K K K
continent			 U N N
continual			 K K K
continue			 K K K
continuous			 K K K
contract			 K K K
contradict			 K K K
contradiction			 K K K
contrary			 U U N
contrast			 U N N
contribute			 K K K
contribution			 K K K
contrive			 N N N
control			 K K K
controversial			 N N N
controversy			 N N N
convenience			 K K K
convenient			 K K K
convention			 U N N
conventional			 U N N
conversation			 K K K
conversely			 U U N
conversion			 U N N
convert			 K K K
convey			 K K K
convict			 K K K
conviction			 K K K
convince			 K K K
cook			 K K K
cool			 K K K
cooperate			 K K K
cooperative			 K K K
coordinate			 K K K
coordinate			 K K K
cop			 K K K
cope			 U N N
copper			 U N N
copy			 K K K
copyright			 K K K
cord			 U U U
cordial			 U U U
core			 K K K
corn			 N N N
corner			 K K K
corporation			 N N N
correct			 K K K
correlate			 N N N
correspond			 K K K
correspondence			 K K K
correspondent			 K K K
corresponding			 K K K
corridor			 U U U
corrode			 U U U
corrupt			 U N N
cosmic			 K K K
cost			 K K K
costly			 K K K
costume			 K K K
cosy			 U U U
