a			 K K K
terrible			 K K K
terrific			 K K K
terrify			 K K K
territory			 K K K
terror			 K K K
test			 K K K
testify			 K K K
testimony			 K K K
text			 K K K
textbook			 K K K
textile			 K K K
texture			 K K K
than			 K K K
thank			 K K K
Thanksgiving			 K K K
that			 K K K
the			 K K K
theater			 K K K
theft			 K K K
their			 K K K
theirs			 K K K
them			 K K K
theme			 K K K
themselves			 K K K
then			 K K K
theoretical			 U U U
theory			 K K K
therapy			 U N N
there			 K K K
thereafter			 K K K
thereby			 K K K
therefore			 K K K
thermal			 U N N
thermometer			 U U U
these			 K K K
thesis			 U U U
they			 K K K
thick			 K K K
thief			 K K K
thigh			 U U U
thin			 K K K
thing			 K K K
think			 K K K
third			 K K K
thirst			 K K K
thirsty			 K K K
thirteen			 U U U
thirty			 K K K
this			 K K K
thorn			 N N N
thorough			 N N N
those			 K K K
though			 K K K
thought			 K K K
thoughtful			 K K K
thousand			 K K K
thread			 K K K
threat			 K K K
threaten			 K K K
three			 K K K
threshold			 K K K
thrift			 U N N
thrill			 U U U
thrive			 N N N
throat			 K K K
throne			 K K K
through			 K K K
throughout			 K K K
throw			 K K K
thrust			 U N N
thumb			 K K K
thunder			 K K K
Thursday			 K K K
thus			 K K K
tick			 K K K
ticket			 K K K
tide			 K K K
tidy			 K K K
tie			 K K K
tiger			 K K K
tight			 U N N
tile			 U U U
till			 K K K
tilt			 U N N
timber			 N N N
NULL			 K K K
time			 K K K
timely			 K K K
timid			 U U U
tin			 K K K
tiny			 K K K
tip			 K K K
tire			 U N N
tired			 U N N
tiresome			 U N N
tissue			 K K K
title			 K K K
to			 K K K
toast			 U N N
tobacco			 K K K
today			 K K K
toe			 K K K
together			 K K K
toilet			 K K K
token			 K K K
tolerance			 K K K
tolerant			 K K K
tolerate			 K K K
toll			 K K K
tomato			 K K K
tomb			 U U U
tomorrow			 K K K
ton			 K K K
tone			 K K K
tongue			 U N N
tonight			 K K K
too			 K K K
tool			 K K K
tooth			 K K K
top			 K K K
topic			 K K K
torch			 U U U
torment			 N N N
torrent			 K K K
torture			 N N N
toss			 U N N
total			 K K K
touch			 K K K
tough			 U N N
tour			 K K K
tourist			 K K K
tow			 N N N
toward			 U U U
towel			 U N N
tower			 K K K
town			 K K K
toxic			 K K K
toy			 K K K
trace			 K K K
track			 N N N
tractor			 K K K
trade			 K K K
trademark			 K K K
tradition			 K K K
traffic			 K K K
tragedy			 K K K
tragic			 U N N
trail			 N N N
train			 K K K
training			 K K K
trait			 K K K
traitor			 U U U
tram			 U U U
tramp			 U U U
transaction			 K K K
transcend			 U U U
transfer			 K K K
transform			 K K K
transient			 K K K
transistor			 U U N
transition			 U U N
translate			 K K K
translation			 K K K
transmission			 U U U
transmit			 U N N
transparent			 K K K
transplant			 K K K
transport			 K K K
trap			 K K K
trash			 K K K
travel			 K K K
tray			 U U U
treason			 U U U
treasure			 U N N
treat			 U N N
treaty			 U N N
tree			 K K K
tremble			 K K K
tremendous			 K K K
trench			 U U U
trend			 K K K
trial			 U U U
triangle			 K K K
tribe			 U U U
tribute			 K K K
trick			 U N N
trifle			 U U U
trigger			 K K K
trim			 U N N
trip			 K K K
triple			 K K K
triumph			 N N N
trivial			 U U U
trolley			 U U U
troop			 N N N
tropic			 U U U
tropical			 U U U
trouble			 K K K
troublesome			 K K K
trousers			 K K K
truck			 U U U
true			 K K K
trumpet			 N N N
trunk			 U N N
trust			 K K K
truth			 K K K
try			 K K K
tub			 U U U
tube			 U U U
tuck			 U U U
Tuesday			 K K K
tug			 K K K
tuition			 K K K
tumble			 U N N
tumour			 U U U
tune			 K K K
tunnel			 K K K
turbine			 K K K
turbulent			 N N N
turkey			 K K K
turn			 K K K
turnover			 K K K
tutor			 U U U
TV			 K K K
twelve			 K K K
twenty			 K K K
twice			 K K K
twin			 U U U
twinkle			 U U U
twist			 U N N
two			 K K K
type			 K K K
typewriter			 U U U
typhoon			 U N N
typical			 K K K
typist			 U U U
ugly			 K K K
ultimate			 K K K
ultraviolet			 U U N
umbrella			 K K K
unanimous			 U U U
uncle			 K K K
uncover			 N N N
under			 N N N
underestimate			 K K K
undergo			 K K K
undergraduate			 K K K
underground			 K K K
underlie			 U U U
underline			 K K K
underlying			 K K K
undermine			 U N N
underneath			 U N N
understand			 K K K
understanding			 K K K
undertake			 U N N
undo			 N N N
undoubtedly			 K K K
uneasy			 U N N
unemployment			 K K K
unexpected			 K K K
unfold			 K K K
unfortunately			 K K K
uniform			 K K K
unify			 U U N
union			 K K K
unique			 K K K
unit			 K K K
unite			 K K K
unity			 U U N
universal			 K K K
universe			 K K K
university			 U N N
unless			 K K K
unlike			 K K K
unlikely			 K K K
unload			 K K K
until			 K K K
unusual			 K K K
up			 K K K
update			 K K K
upgrade			 U N N
uphold			 U U U
upon			 U N N
upper			 K K K
upright			 U U N
uproar			 U U U
upset			 K K K
upstairs			 K K K
up-to-date			 K K K
upward			 K K K
urban			 K K K
urge			 K K K
urgent			 U N N
us			 K K K
usage			 K K K
use			 K K K
used			 K K K
useful			 K K K
usual			 K K K
usually			 K K K
utilize			 U N N
utmost			 U N N
utter			 U N N
vacant			 U N N
vacation			 U N N
vacuum			 K K K
vague			 K K K
vain			 K K K
valid			 K K K
valley			 K K K
valuable			 K K K
value			 K K K
valve			 K K K
van			 U U N
vanish			 U N N
vanity			 U N N
vapour			 U U U
variable			 K K K
variation			 K K K
variety			 K K K
various			 K K K
vary			 K K K
vase			 U U U
vast			 K K K
vegetable			 U N N
vegetarian			 U U N
vegetation			 U U N
vehicle			 K K K
veil			 U U U
vein			 U U U
velocity			 U U U
velvet			 U U U
ventilate			 U U U
venture			 U N N
verb			 U U U
NULL			 K K K
verbal			 U U N
verdict			 U U U
verge			 U U U
verify			 K K K
versatile			 U U N
verse			 U U U
version			 U N N
versus			 K K K
vertical			 K K K
very			 K K K
vessel			 U N N
vest			 U U U
veteran			 U U U
veto			 U U U
via			 K K K
vibrate			 N N N
vice			 U U N
vicinity			 U N N
vicious			 U U N
victim			 K K K
victory			 K K K
video			 K K K
view			 K K K
viewpoint			 K K K
vigorous			 U N N
village			 K K K
vinegar			 U U U
violate			 N N N
violence			 N N N
violent			 N N N
violet			 N N N
violin			 K K K
virgin			 U U U
virtual			 N N N
virtue			 U U U
virus			 U U U
visa			 K K K
visible			 K K K
vision			 K K K
visit			 K K K
visitor			 K K K
visual			 K K K
vital			 U N N
vitamin			 K K K
vivid			 K K K
vocabulary			 K K K
vocal			 U U U
vocation			 U N N
voice			 K K K
void			 K K K
volcano			 U U U
volleyball			 K K K
volt			 U U U
voltage			 U U U
volume			 K K K
voluntary			 K K K
volunteer			 K K K
vote			 K K K
vowel			 U U U
voyage			 K K K
vulgar			 U U U
vulnerable			 U U U
wage			 K K K
wagon			 K K K
waist			 U N N
wait			 K K K
waiter			 K K K
waitress			 K K K
wake			 K K K
waken			 K K K
walk			 K K K
wall			 K K K
wallet			 K K K
wander			 U N N
want			 K K K
war			 K K K
ward			 U U N
wardrobe			 U U U
warehouse			 U N N
warfare			 U U N
warm			 K K K
warmth			 U U U
warn			 K K K
warrant			 K K K
wash			 K K K
waste			 K K K
watch			 K K K
watch			 K K K
water			 K K K
waterfall			 K K K
waterproof			 U U U
watt			 U U U
wave			 K K K
wax			 U U U
way			 K K K
we			 K K K
weak			 U N N
wealth			 K K K
wealthy			 K K K
weapon			 K K K
wear			 K K K
weary			 U U N
weather			 K K K
weave			 K K K
web			 K K K
wedding			 K K K
wedge			 U U U
Wednesday			 K K K
weed			 U U N
week			 K K K
weekday			 K K K
weekend			 K K K
weekly			 K K K
weep			 U U U
weigh			 U N N
weight			 K K K
weird			 U N N
welcome			 K K K
weld			 U U U
welfare			 K K K
well			 U N N
well-known			 K K K
west			 K K K
western			 K K K
wet			 K K K
whale			 U U U
what			 K K K
whatever			 K K K
whatsoever			 K K K
wheat			 U N N
wheel			 K K K
when			 K K K
whenever			 K K K
where			 K K K
whereas			 U U N
wherever			 K K K
whether			 K K K
which			 K K K
whichever			 K K K
while			 K K K
whip			 U U U
whirl			 U N N
whisky			 U U U
whisper			 U U N
whistle			 U N N
white			 K K K
who			 K K K
whoever			 K K K
whole			 K K K
wholesome			 U U N
wholly			 U U N
whom			 K K K
whose			 K K K
why			 K K K
wicked			 N N N
wide			 K K K
widespread			 K K K
widow			 K K K
width			 K K K
wife			 K K K
wild			 K K K
will			 K K K
willing			 K K K
win			 K K K
wind			 K K K
window			 K K K
wine			 K K K
wing			 K K K
wink			 U U U
winter			 K K K
wipe			 U U U
wire			 U U N
wisdom			 K K K
wise			 K K K
wish			 K K K
wit			 K K K
witch			 K K K
with			 K K K
withdraw			 K K K
withhold			 K K K
within			 K K K
without			 U N N
withstand			 U U N
witness			 K K K
wolf			 K K K
woman			 K K K
wonder			 U N N
wonderful			 K K K
wood			 K K K
wooden			 K K K
wool			 U U U
word			 U N N
work			 K K K
worker			 K K K
workshop			 K K K
world			 K K K
worldwide			 K K K
worm			 K K K
worry			 K K K
worse			 K K K
worship			 K K K
worst			 K K K
worth			 K K K
worthwhile			 K K K
worthy			 K K K
would			 K K K
wound			 K K K
wrap			 K K K
wreath			 U U U
wreck			 K K K
wrench			 K K K
wretched			 U U U
wrinkle			 K K K
wrist			 K K K
write			 K K K
writing			 K K K
wrong			 K K K
X-ray			 K K K
yard			 K K K
yawn			 U U U
year			 K K K
yearly			 K K K
yell			 K K K
yellow			 K K K
yes			 K K K
yesterday			 K K K
yet			 K K K
yield			 K K K
you			 K K K
young			 K K K
youngster			 K K K
your			 K K K
yours			 K K K
yourself			 K K K
youth			 K K K
zeal			 U U U
zebra			 U U U
zero			 K K K
zigzag			 U U U
zinc			 U U U
zip			 K K K
zone			 K K K
zoo			 K K K
zoom			 U U U
