a			 K
exquisite			 U
extend			 K
extension			 K
extensive			 K
extent			 K
exterior			 U
external			 N
extinct			 N
extinguish			 N
extra			 K
extract			 K
extraordinary			 K
extravagant			 N
extreme			 K
eye			 K
eyebrow			 K
eyesight			 N
fable			 U
fabric			 N
fabricate			 N
fabulous			 N
face			 K
facilitate			 N
facility			 N
fact			 K
factor			 K
factory			 K
faculty			 N
fade			 K
fail			 K
failure			 K
faint			 U
fair			 N
fairly			 N
fairy			 K
faith			 U
faithful			 U
fake			 K
fall			 K
false			 K
fame			 U
familiar			 K
family			 K
famine			 K
famous			 K
fan			 K
fancy			 K
fantastic			 K
fantasy			 U
far			 K
fare			 U
farewell			 K
farm			 K
farmer			 K
farther			 K
fascinate			 U
fashion			 K
fashionable			 K
fast			 K
fasten			 K
fat			 K
fatal			 K
fate			 K
father			 K
fatigue			 U
fault			 K
faulty			 U
favor			 N
favorable			 N
favorite			 K
fax			 K
fear			 K
fearful			 K
feasible			 K
feast			 U
feat			 K
feather			 K
feature			 K
February			 K
federal			 K
federation			 K
fee			 K
feeble			 U
feed			 U
feedback			 K
feel			 K
feeling			 K
fell			 K
fellow			 U
fellowship			 K
female			 K
feminine			 U
fence			 K
ferry			 U
fertile			 N
fertilizer			 N
festival			 K
fetch			 N
feudal			 U
fever			 U
few			 K
fiber			 K
fiction			 U
field			 K
fierce			 N
fifteen			 K
fifty			 K
fight			 K
figure			 K
file			 K
fill			 K
film			 K
filter			 K
final			 K
finally			 K
finance			 K
financial			 K
find			 K
finding			 K
fine			 K
finger			 U
finish			 K
finite			 K
fire			 U
fireman			 K
fireplace			 U
firm			 K
first			 K
fish			 K
fisherman			 K
fist			 U
fit			 K
fitting			 K
five			 K
fix			 K
fixture			 N
flag			 K
flame			 U
flap			 U
flare			 U
flash			 U
flat			 K
flatter			 K
flavor			 U
flaw			 U
flee			 U
fleet			 U
flesh			 U
flexible			 K
flight			 U
fling			 U
float			 K
flock			 U
flood			 K
floor			 K
flour			 K
flourish			 K
flow			 U
flower			 K
flu			 U
fluctuate			 K
fluent			 K
fluid			 K
flush			 N
fly			 K
foam			 U
focus			 K
fog			 U
fold			 K
folk			 N
follow			 K
following			 K
fond			 U
food			 K
fool			 K
foolish			 K
foot			 K
football			 K
footstep			 U
for			 K
forbid			 K
force			 K
fore			 U
forecast			 U
forehead			 U
foreign			 K
foreigner			 K
foremost			 U
foresee			 U
forest			 K
forever			 K
forge			 U
forget			 K
forgive			 K
fork			 K
form			 K
formal			 N
format			 K
formation			 U
former			 K
formidable			 U
formula			 K
formulate			 N
forth			 U
forthcoming			 U
fortnight			 U
fortunate			 U
fortune			 K
forty			 U
forum			 U
forward			 K
fossil			 U
foster			 U
foul			 U
			 K
found			 K
foundation			 K
fountain			 U
four			 K
fourteen			 K
fox			 K
fraction			 U
fracture			 U
fragile			 U
fragment			 K
fragrant			 U
frame			 N
framework			 K
frank			 K
fraud			 U
free			 K
freedom			 K
freeze			 K
freight			 U
frequency			 K
frequent			 K
fresh			 K
friction			 U
Friday			 K
fridge			 U
friend			 K
friendly			 K
friendship			 K
fright			 U
frighten			 U
fringe			 U
frog			 K
from			 K
front			 K
frontier			 N
frost			 U
frown			 N
fruit			 K
fruitful			 N
frustrate			 U
fry			 K
fuel			 N
fulfill			 N
full			 K
fume			 U
fun			 K
function			 K
fund			 K
fundamental			 K
funeral			 U
funny			 K
fur			 U
furious			 U
furnace			 U
furnish			 U
furniture			 U
further			 U
furthermore			 K
fuse			 U
fuss			 U
futile			 U
future			 K
gain			 K
galaxy			 K
gallery			 U
gallon			 U
gallop			 U
gamble			 K
game			 K
gang			 U
gaol			 U
gap			 K
garage			 U
garbage			 K
garden			 K
garlic			 U
garment			 U
gas			 K
gasoline			 K
gasp			 N
gate			 K
gather			 K
gauge			 K
gay			 K
gaze			 K
gear			 N
gender			 K
gene			 K
general			 K
generalize			 N
generate			 K
generation			 K
generator			 K
generous			 K
genetic			 N
genius			 K
gentle			 U
gentleman			 K
gently			 U
genuine			 K
geography			 K
geology			 K
geometry			 K
germ			 K
gesture			 K
get			 K
ghost			 K
giant			 K
gift			 K
gigantic			 K
giggle			 K
girl			 K
give			 K
glad			 N
glamor			 N
glance			 K
glare			 N
glass			 K
glide			 N
glimpse			 U
glitter			 K
global			 K
globe			 K
gloomy			 N
glorious			 K
glory			 K
glove			 K
glow			 N
glue			 K
go			 K
goal			 K
goat			 U
god			 K
gold			 K
golden			 K
golf			 K
good			 K
