a			 K K K K
cognitive			 K K K K
coherent			 U N N N
cohesive			 U U N N
coil			 U N N N
coin			 K K K K
coincide			 K K K K
coincidence			 K K K K
coke			 U U N N
cold			 K K K K
collaborate			 K K K K
collapse			 K K K K
collar			 U U U N
colleague			 K K K K
collect			 K K K K
collection			 K K K K
collective			 K K K K
college			 K K K K
collide			 U N N N
collision			 K K K K
colonel			 U N N N
colonial			 U N N N
colony			 U N N N
color			 K K K K
column			 K K K K
comb			 K K K K
combat			 K K K K
combination			 K K K K
combine			 K K K K
come			 K K K K
comedy			 K K K K
comfort			 K K K K
comfortable			 K K K K
comic			 U N N N
command			 K K K K
commemorate			 K K K K
commence			 U U U U
commend			 U N N N
comment			 K K K K
commerce			 U U N N
commercial			 U U N N
commission			 U U U N
commit			 U N N N
committee			 K K K K
commodity			 K K K K
common			 K K K K
commonplace			 U N N N
commonwealth			 U U N N
communicate			 K K K K
communication			 K K K K
communism			 U U N N
community			 K K K K
commute			 K K K K
compact			 K K K K
companion			 K K K K
company			 K K K K
comparable			 K K K K
comparative			 K K K K
compare			 K K K K
comparison			 N N N N
compartment			 U N N N
compass			 K K K K
compassion			 U U U N
compatible			 U N N N
compel			 K K K K
compensate			 N N N N
compensation			 U N N N
compete			 K K K K
competent			 N N N N
competition			 N N N N
competitive			 K K K K
compile			 K K K K
complain			 K K K K
complaint			 K K K K
complement			 U N N N
complete			 K K K K
complex			 K K K K
complicate			 K K K K
complicated			 K K K K
complication			 N N N N
compliment			 U N N N
comply			 U N N N
component			 K K K K
compose			 K K K K
composite			 U N N N
composition			 U N N N
compound			 U N N N
comprehend			 U N N N
comprehension			 K K K K
comprehensive			 N N N N
compress			 U U N N
comprise			 U U U U
compromise			 U N N N
compulsory			 U U U N
compute			 K K K K
computer			 K K K K
comrade			 U N N N
conceal			 U U N N
concede			 K K K K
conceive			 N N N N
concentrate			 U N N N
concentration			 U N N N
concept			 K K K K
concern			 K K K K
concerning			 K K K K
concert			 K K K K
concession			 K K K K
concise			 U N N N
conclude			 K K K K
conclusion			 K K K K
concrete			 U N N N
condemn			 U U N N
condense			 U U U N
condition			 K K K K
conduct			 K K K K
conductor			 K K K K
confer			 U U N N
conference			 U N N N
confess			 U U N N
confidence			 K K K K
confident			 K K K K
confidential			 K K K K
confine			 U N N N
confirm			 K K K K
conflict			 K K K K
NULL			 K K K K
conform			 N N N N
confront			 K K K K
confuse			 K K K K
confusion			 K K K K
congratulate			 N N N N
congratulation			 K K K K
congress			 N N N N
conjunction			 K K K K
connect			 K K K K
connection			 K K K K
conquer			 K K K K
conquest			 K K K K
conscience			 K K K K
conscientious			 K K K K
conscious			 K K K K
consecutive			 N N N N
consensus			 K K K K
consent			 K K K K
consequence			 N N N N
consequently			 K K K K
conservation			 K K K K
conservative			 K K K K
consider			 K K K K
considerable			 K K K K
considerate			 K K K K
consideration			 K K K K
consist			 K K K K
consistent			 K K K K
console			 N N N N
consolidate			 N N N N
conspicuous			 U U N N
conspiracy			 N N N N
constant			 K K K K
constituent			 N N N N
constitute			 U N N N
constitution			 U N N N
constrain			 K K K K
construct			 K K K K
construction			 N N N N
consult			 K K K K
consultant			 K K K K
consume			 K K K K
consumption			 K K K K
contact			 K K K K
contain			 K K K K
container			 K K K K
contaminate			 U U U U
contemplate			 K K K K
contemporary			 K K K K
contempt			 U N N N
contend			 U N N N
content			 K K K K
contest			 N N N N
context			 K K K K
continent			 U N N N
continual			 K K K K
continue			 K K K K
continuous			 K K K K
contract			 K K K K
contradict			 K K K K
contradiction			 K K K K
contrary			 U U N N
contrast			 U N N N
contribute			 K K K K
contribution			 K K K K
contrive			 N N N N
control			 K K K K
controversial			 N N N N
controversy			 N N N N
convenience			 K K K K
convenient			 K K K K
convention			 U N N N
conventional			 U N N N
conversation			 K K K K
conversely			 U U N N
conversion			 U N N N
convert			 K K K K
convey			 K K K K
convict			 K K K K
conviction			 K K K K
convince			 K K K K
cook			 K K K K
cool			 K K K K
cooperate			 K K K K
cooperative			 K K K K
coordinate			 K K K K
coordinate			 K K K K
cop			 K K K K
cope			 U N N N
copper			 U N N N
copy			 K K K K
copyright			 K K K K
cord			 U U U N
cordial			 U U U U
core			 K K K K
corn			 N N N N
corner			 K K K K
corporation			 N N N N
correct			 K K K K
correlate			 N N N N
correspond			 K K K K
correspondence			 K K K K
correspondent			 K K K K
corresponding			 K K K K
corridor			 U U U U
corrode			 U U U N
corrupt			 U N N N
cosmic			 K K K K
cost			 K K K K
costly			 K K K K
costume			 K K K K
cosy			 U U U U
cottage			 U U N N
cotton			 U U U U
couch			 K K K K
cough			 U N N N
could			 K K K K
council			 N N N N
counsel			 K K K K
count			 K K K K
counter			 K K K K
counterpart			 K K K K
country			 K K K K
countryside			 K K K K
county			 K K K K
couple			 K K K K
coupon			 N N N N
courage			 K K K K
course			 U N N N
court			 K K K K
courtesy			 U U U N
courtyard			 N N N N
cousin			 U N N N
cover			 K K K K
cow			 U N N N
coward			 N N N N
crab			 U U U U
crack			 K K K K
cradle			 U U N N
craft			 K K K K
crane			 U U U U
crash			 N N N N
crawl			 U N N N
crazy			 K K K K
cream			 K K K K
create			 K K K K
creative			 K K K K
creature			 K K K K
credential			 U U U N
credit			 K K K K
creep			 K K K K
crew			 U U U U
cricket			 U U U U
crime			 K K K K
criminal			 K K K K
cripple			 U U U U
crisis			 K K K K
crisp			 U N N N
criterion			 K K K K
critic			 K K K K
critical			 K K K K
criticism			 K K K K
criticize			 K K K K
crop			 K K K K
cross			 K K K K
crow			 K K K K
crowd			 N N N N
crown			 K K K K
crucial			 N N N N
crude			 U N N N
cruel			 U N N N
cruise			 U U N N
crush			 U U U U
crust			 U U U U
cry			 K K K K
crystal			 K K K K
cube			 N N N N
cucumber			 U U U U
cue			 U N N N
cultivate			 N N N N
culture			 K K K K
cunning			 U N N N
cup			 K K K K
cupboard			 K K K K
curb			 U U N N
cure			 U U N N
curiosity			 K K K K
curious			 K K K K
curl			 U N N N
currency			 K K K K
current			 K K K K
curriculum			 U U N N
curse			 U U U U
curtain			 U U U N
curve			 U N N N
cushion			 U N N N
custom			 K K K K
customary			 N N N N
customer			 N N N N
cut			 K K K K
cyberspace			 U N N N
cycle			 K K K K
cylinder			 K K K K
daily			 K K K K
dairy			 U U U U
dam			 N N N N
damage			 K K K K
damn			 U N N N
damp			 U U U U
dance			 K K K K
danger			 U N N N
dangerous			 K K K K
dare			 K K K K
dark			 K K K K
darling			 U U N N
dash			 U U N N
data			 K K K K
database			 K K K K
date			 K K K K
daughter			 K K K K
dawn			 K K K K
day			 K K K K
daylight			 K K K K
daytime			 K K K K
dazzle			 K K K K
dead			 K K K K
deadline			 K K K K
deadly			 N N N N
deaf			 U N N N
deal			 K K K K
dealer			 K K K K
dean			 U U U U
dear			 N N N N
death			 K K K K
debate			 K K K K
debt			 K K K K
decade			 K K K K
decay			 U N N N
deceit			 U N N N
deceive			 K K K K
December			 K K K K
decent			 K K K K
decide			 K K K K
decimal			 K K K K
decision			 K K K K
decisive			 N N N N
deck			 N N N N
declaration			 K K K K
declare			 K K K K
decline			 K K K K
NULL			 K K K K
decorate			 K K K K
decrease			 U N N N
dedicate			 K K K K
deduce			 U N N N
deduct			 U U N N
deed			 U U N N
deem			 U U U U
deep			 K K K K
deer			 K K K K
defeat			 U N N N
defence			 K K K K
defect			 K K K K
defend			 K K K K
deficiency			 N N N N
deficit			 K K K K
define			 K K K K
definite			 K K K K
definition			 K K K K
defy			 U U U U
degenerate			 K K K K
degree			 K K K K
delay			 K K K K
delegate			 K K K K
delete			 K K K K
deliberate			 U U N N
delicate			 U N N N
delicious			 K K K K
delight			 U N N N
deliver			 K K K K
delivery			 K K K K
demand			 K K K K
democracy			 K K K K
democratic			 K K K K
demonstrate			 N N N N
denial			 N N N N
denote			 N N N N
denounce			 K K K K
dense			 N N N N
density			 K K K K
dental			 U U U U
dentist			 U U N N
deny			 K K K K
depart			 N N N N
department			 N N N N
departure			 N N N N
depend			 K K K K
dependent			 K K K K
depict			 N N N N
deposit			 K K K K
depress			 K K K K
deprive			 U U N N
depth			 K K K K
deputy			 U U N N
derive			 K K K K
