a			 K K K K
shutter			 K K K K
shuttle			 K K K K
shy			 U U N N
sick			 K K K K
side			 K K K K
sideways			 K K K K
siege			 U U U U
sigh			 K K K K
sight			 U N N N
sightseeing			 K K K K
sign			 K K K K
signal			 K K K K
signature			 U N N N
significance			 K K K K
significant			 K K K K
signify			 K K K K
silence			 K K K K
silent			 K K K K
silicon			 K K K K
silk			 K K K K
silly			 U U U U
silver			 K K K K
similar			 K K K K
simple			 K K K K
simplicity			 K K K K
simplify			 K K K K
simply			 K K K K
simulate			 K K K K
simultaneous			 K K K K
sin			 U U U U
since			 K K K K
sincere			 N N N N
sing			 K K K K
single			 K K K K
singular			 K K K K
sink			 U U U U
sip			 K K K K
sir			 K K K K
siren			 U U U U
sister			 K K K K
sit			 K K K K
site			 K K K K
situated			 U N N N
situation			 K K K K
six			 K K K K
size			 K K K K
skate			 U U U U
skeleton			 K K K K
skeptical			 U U U U
sketch			 U U U U
ski			 U U U U
skill			 U N N N
skilled			 U N N N
skillful			 U N N N
skim			 U U U U
skin			 K K K K
skip			 K K K K
skirt			 K K K K
skull			 U U U U
sky			 K K K K
skyscraper			 K K K K
slack			 U N N N
slam			 U N N N
slap			 U N N N
slaughter			 N N N N
slave			 K K K K
sleep			 K K K K
sleeve			 U U U N
slender			 K K K K
slice			 K K K K
slide			 U N N N
slight			 U U N N
slim			 U U U U
slip			 U U U U
slipper			 U U N N
slippery			 U U U N
slit			 U U U U
slogan			 U N N N
slope			 U N N N
slot			 K K K K
slow			 K K K K
slum			 U U U U
sly			 U U U U
small			 K K K K
smart			 K K K K
smash			 U N N N
smell			 U N N N
smile			 K K K K
smog			 K K K K
smoke			 K K K K
smooth			 K K K K
smuggle			 U U U U
snack			 K K K K
snake			 K K K K
snap			 U U U U
snatch			 U N N N
sneak			 U U U U
sneeze			 U U U U
sniff			 U U U U
snow			 K K K K
snowstorm			 K K K K
so			 K K K K
NULL			 K K K K
soak			 U N N N
soap			 N N N N
soar			 K K K K
sob			 K K K K
sober			 K K K K
so-called			 K K K K
soccer			 K K K K
sociable			 N N N N
social			 N N N N
socialism			 K K K K
society			 K K K K
sociology			 K K K K
sock			 K K K K
soda			 K K K K
sofa			 K K K K
soft			 K K K K
software			 K K K K
soil			 U U U U
solar			 U U N N
soldier			 K K K K
sole			 K K K K
solemn			 U U N N
solid			 K K K K
solidarity			 K K K K
solitary			 K K K K
solo			 K K K K
soluble			 N N N N
solution			 K K K K
solve			 U N N N
some			 K K K K
somebody			 K K K K
somehow			 K K K K
someone			 K K K K
something			 K K K K
sometime			 K K K K
sometimes			 K K K K
somewhat			 K K K K
somewhere			 K K K K
son			 K K K K
song			 K K K K
soon			 K K K K
sophisticated			 K K K K
sophomore			 K K K K
sore			 K K K K
sorrow			 U N N N
sorry			 K K K K
sort			 K K K K
soul			 N N N N
sound			 K K K K
soup			 K K K K
sour			 K K K K
source			 K K K K
south			 K K K K
southeast			 K K K K
southern			 K K K K
southwest			 K K K K
sovereign			 K K K K
sow			 U U U U
space			 K K K K
spacecraft			 K K K K
spaceship			 K K K K
spacious			 N N N N
spade			 U U U U
span			 K K K K
spare			 K K K K
spark			 N N N N
sparkle			 N N N N
speak			 U N N N
speaker			 K K K K
spear			 N N N N
special			 K K K K
specialist			 K K K K
speciality			 N N N N
specialize			 K K K K
species			 K K K K
specific			 K K K K
specification			 K K K K
specify			 N N N N
specimen			 U U U U
spectacle			 U N N N
spectacular			 U U N N
spectator			 U U N N
spectrum			 U U U U
speculate			 K K K K
speech			 K K K K
speed			 K K K K
spell			 K K K K
spelling			 K K K K
spend			 K K K K
sphere			 K K K K
spicy			 U U U U
spider			 K K K K
spill			 U U U U
spin			 K K K K
spine			 U U U U
spiral			 U U U U
spirit			 K K K K
spiritual			 U U U U
spit			 U U U N
spite			 U N N N
splash			 U U N N
splendid			 U U U U
split			 K K K K
spoil			 U N N N
spokesman			 K K K K
sponge			 U N N N
sponsor			 K K K K
spontaneous			 U U U U
spoon			 U N N N
sport			 K K K K
sportsman			 K K K K
spot			 K K K K
spouse			 U U U U
spray			 U U U U
spread			 K K K K
spring			 K K K K
sprinkle			 U U U U
sprout			 U U U U
spur			 U U U U
spy			 K K K K
square			 K K K K
squeeze			 K K K K
squirrel			 U U U U
stab			 U N N N
stability			 U N N N
stable			 K K K K
stack			 K K K K
stadium			 U U U U
staff			 K K K K
stage			 U N N N
stagger			 U U N N
stain			 U U U N
stair			 K K K K
staircase			 U U U U
stake			 U U U U
stale			 U U U U
stalk			 K K K K
stall			 U U U U
stamp			 U U U U
stand			 K K K K
standard			 K K K K
standpoint			 K K K K
staple			 U U U U
star			 K K K K
stare			 U N N N
start			 K K K K
startle			 U N N N
starve			 K K K K
state			 K K K K
statement			 K K K K
statesman			 U N N N
static			 K K K K
station			 K K K K
stationary			 U U U U
stationery			 U U U U
statistical			 U N N N
statue			 K K K K
status			 K K K K
statute			 U U U U
stay			 K K K K
steady			 U U U U
steak			 U U U N
steal			 K K K K
steam			 U N N N
steamer			 U N N N
steel			 K K K K
steep			 U U U U
steer			 U N N N
stem			 U U U U
step			 K K K K
stereo			 K K K K
stereotype			 K K K K
stern			 U U U U
steward			 U U U U
stick			 K K K K
sticky			 K K K K
stiff			 U U U U
still			 K K K K
stimulate			 K K K K
sting			 U N N N
stir			 U N N N
stitch			 U U U U
stock			 K K K K
stocking			 K K K K
stomach			 U N N N
stone			 K K K K
stool			 U U U U
stoop			 U U U U
stop			 K K K K
storage			 K K K K
store			 K K K K
storey			 K K K K
storm			 K K K K
story			 K K K K
stove			 U N N N
straight			 K K K K
straightforward			 K K K K
strain			 U N N N
strange			 K K K K
stranger			 K K K K
strap			 U N N N
strategy			 K K K K
straw			 U N N N
strawberry			 U U U N
stream			 K K K K
streamline			 K K K K
street			 K K K K
strength			 K K K K
strengthen			 K K K K
strenuous			 U U U U
stress			 U N N N
stretch			 U N N N
strict			 U N N N
stride			 U U U U
strife			 U U U U
strike			 K K K K
striking			 U U U U
string			 U N N N
strip			 K K K K
stripe			 K K K K
strive			 U U U U
stroke			 U U U U
stroll			 U N N N
strong			 K K K K
structure			 K K K K
struggle			 U N N N
stubborn			 U U U U
student			 K K K K
studio			 K K K K
study			 K K K K
stuff			 K K K K
stumble			 K K K K
stun			 U U U U
stupid			 K K K K
sturdy			 U U U U
style			 K K K K
subject			 K K K K
subjective			 U U U N
submarine			 U N N N
submerge			 U N N N
submit			 K K K K
subordinate			 U U U U
subscribe			 N N N N
subsequent			 U U U N
subsidy			 U U U U
substance			 U U U U
substantial			 U N N N
substitute			 U U N N
subtle			 U N N N
subtract			 U U U U
NULL			 K K K K
suburb			 U U U U
subway			 K K K K
succeed			 K K K K
success			 K K K K
successful			 K K K K
succession			 U U U U
successive			 U U U N
successor			 K K K K
such			 K K K K
suck			 K K K K
sudden			 U N N N
sue			 U U U N
suffer			 K K K K
suffice			 U U U U
sufficient			 K K K K
sugar			 K K K K
suggest			 K K K K
suggestion			 K K K K
suicide			 K K K K
suit			 K K K K
suitable			 K K K K
suite			 U U U N
sulfur			 U U U U
sum			 K K K K
summarize			 K K K K
summary			 K K K K
summer			 K K K K
summit			 K K K K
summon			 U U U U
sun			 K K K K
Sunday			 K K K K
sunrise			 K K K K
sunset			 K K K K
sunshine			 K K K K
super			 K K K K
superb			 U U N N
superficial			 U U U U
superfluous			 U U U U
superior			 U U U N
superiority			 U U U U
supermarket			 U N N N
supersonic			 U U U N
superstition			 U U U U
supervise			 K K K K
supper			 K K K K
supplement			 U N N N
supply			 K K K K
support			 K K K K
suppose			 K K K K
suppress			 U N N N
supreme			 U U U N
sure			 K K K K
surface			 K K K K
surge			 U U U U
surgeon			 U N N N
surgery			 U N N N
surname			 K K K K
surpass			 U U U U
surplus			 K K K K
surprise			 K K K K
surrender			 U N N N
surround			 K K K K
surroundings			 K K K K
survey			 U N N N
survival			 K K K K
survive			 K K K K
susceptible			 U U U U
suspect			 K K K K
suspend			 K K K K
suspicion			 U N N N
suspicious			 U N N N
sustain			 K K K K
swallow			 U N N N
swamp			 U U U U
swan			 K K K K
swarm			 U U U U
sway			 U U U U
swear			 K K K K
sweat			 U U U U
sweater			 U U U U
sweep			 N N N N
sweet			 N N N N
swell			 U N N N
swift			 K K K K
swim			 U N N N
swing			 U N N N
switch			 U U U N
sword			 K K K K
symbol			 K K K K
symmetry			 K K K K
sympathetic			 N N N N
sympathize			 N N N N
sympathy			 N N N N
symphony			 U U U U
symposium			 U U U U
symptom			 U U U U
syndrome			 U U U U
synthesis			 K K K K
synthetic			 K K K K
system			 K K K K
systematic			 K K K K
table			 K K K K
tablet			 U U U U
tackle			 U U U U
tactic			 K K K K
tag			 K K K K
tail			 K K K K
tailor			 K K K K
take			 K K K K
tale			 K K K K
talent			 K K K K
talk			 K K K K
tall			 K K K K
tame			 U U U N
tan			 U U U U
tangle			 K K K K
tank			 K K K K
tanker			 K K K K
tap			 K K K K
tape			 K K K K
tar			 U U N N
target			 K K K K
tariff			 U U N N
task			 K K K K
taste			 K K K K
tax			 K K K K
taxi			 K K K K
tea			 K K K K
teach			 K K K K
teacher			 K K K K
team			 K K K K
tear			 U N N N
tease			 K K K K
technical			 K K K K
technician			 K K K K
technique			 K K K K
technology			 K K K K
tedious			 U U U U
teenager			 K K K K
telegram			 K K K K
telegraph			 K K K K
telephone			 K K K K
telescope			 K K K K
tell			 K K K K
temper			 K K K K
temperament			 U U U U
temperature			 U N N N
temple			 K K K K
tempo			 K K K K
temporary			 K K K K
tempt			 K K K K
temptation			 K K K K
ten			 K K K K
tenant			 K K K K
tend			 K K K K
tendency			 U U U N
tender			 K K K K
tennis			 U U U U
tense			 U N N N
tension			 K K K K
tent			 K K K K
tentative			 U U U U
term			 K K K K
terminal			 K K K K
terminate			 K K K K
terrible			 K K K K
terrific			 K K K K
terrify			 K K K K
territory			 K K K K
terror			 K K K K
test			 K K K K
testify			 K K K K
testimony			 K K K K
text			 K K K K
textbook			 K K K K
textile			 K K K K
texture			 K K K K
than			 K K K K
thank			 K K K K
Thanksgiving			 K K K K
that			 K K K K
the			 K K K K
theater			 K K K K
theft			 K K K K
their			 K K K K
theirs			 K K K K
them			 K K K K
theme			 K K K K
themselves			 K K K K
then			 K K K K
theoretical			 U U U U
theory			 K K K K
therapy			 U N N N
there			 K K K K
thereafter			 K K K K
thereby			 K K K K
therefore			 K K K K
thermal			 U N N N
thermometer			 U U U U
these			 K K K K
thesis			 U U U N
they			 K K K K
thick			 K K K K
thief			 K K K K
thigh			 U U U U
thin			 K K K K
thing			 K K K K
think			 K K K K
third			 K K K K
thirst			 K K K K
thirsty			 K K K K
thirteen			 U U U N
thirty			 K K K K
this			 K K K K
thorn			 N N N N
thorough			 N N N N
those			 K K K K
though			 K K K K
thought			 K K K K
thoughtful			 K K K K
thousand			 K K K K
thread			 K K K K
threat			 K K K K
threaten			 K K K K
three			 K K K K
threshold			 K K K K
thrift			 U N N N
thrill			 U U U N
thrive			 N N N N
throat			 K K K K
throne			 K K K K
through			 K K K K
throughout			 K K K K
throw			 K K K K
thrust			 U N N N
thumb			 K K K K
thunder			 K K K K
Thursday			 K K K K
thus			 K K K K
tick			 K K K K
ticket			 K K K K
tide			 K K K K
tidy			 K K K K
tie			 K K K K
tiger			 K K K K
tight			 U N N N
tile			 U U U U
till			 K K K K
tilt			 U N N N
timber			 N N N N
NULL			 K K K K
time			 K K K K
timely			 K K K K
timid			 U U U U
tin			 K K K K
tiny			 K K K K
tip			 K K K K
tire			 U N N N
tired			 U N N N
tiresome			 U N N N
tissue			 K K K K
title			 K K K K
to			 K K K K
toast			 U N N N
tobacco			 K K K K
today			 K K K K
toe			 K K K K
together			 K K K K
toilet			 K K K K
token			 K K K K
tolerance			 K K K K
tolerant			 K K K K
tolerate			 K K K K
toll			 K K K K
tomato			 K K K K
tomb			 U U U U
tomorrow			 K K K K
ton			 K K K K
tone			 K K K K
tongue			 U N N N
tonight			 K K K K
too			 K K K K
tool			 K K K K
tooth			 K K K K
top			 K K K K
topic			 K K K K
torch			 U U U U
torment			 N N N N
torrent			 K K K K
torture			 N N N N
toss			 U N N N
total			 K K K K
touch			 K K K K
tough			 U N N N
tour			 K K K K
tourist			 K K K K
tow			 N N N N
toward			 U U U N
towel			 U N N N
tower			 K K K K
town			 K K K K
toxic			 K K K K
toy			 K K K K
trace			 K K K K
track			 N N N N
tractor			 K K K K
trade			 K K K K
trademark			 K K K K
tradition			 K K K K
traffic			 K K K K
tragedy			 K K K K
tragic			 U N N N
trail			 N N N N
train			 K K K K
training			 K K K K
trait			 K K K K
traitor			 U U U N
tram			 U U U U
tramp			 U U U U
transaction			 K K K K
transcend			 U U U U
transfer			 K K K K
transform			 K K K K
transient			 K K K K
transistor			 U U N N
transition			 U U N N
translate			 K K K K
translation			 K K K K
transmission			 U U U U
transmit			 U N N N
transparent			 K K K K
transplant			 K K K K
transport			 K K K K
trap			 K K K K
trash			 K K K K
travel			 K K K K
tray			 U U U U
treason			 U U U U
treasure			 U N N N
treat			 U N N N
treaty			 U N N N
tree			 K K K K
tremble			 K K K K
tremendous			 K K K K
trench			 U U U U
trend			 K K K K
trial			 U U U U
triangle			 K K K K
tribe			 U U U U
tribute			 K K K K
trick			 U N N N
trifle			 U U U U
trigger			 K K K K
trim			 U N N N
trip			 K K K K
triple			 K K K K
triumph			 N N N N
trivial			 U U U U
trolley			 U U U U
troop			 N N N N
tropic			 U U U U
tropical			 U U U U
trouble			 K K K K
troublesome			 K K K K
trousers			 K K K K
truck			 U U U U
true			 K K K K
trumpet			 N N N N
trunk			 U N N N
trust			 K K K K
truth			 K K K K
try			 K K K K
tub			 U U U U
tube			 U U U U
tuck			 U U U U
Tuesday			 K K K K
tug			 K K K K
tuition			 K K K K
tumble			 U N N N
tumour			 U U U U
tune			 K K K K
tunnel			 K K K K
turbine			 K K K K
turbulent			 N N N N
turkey			 K K K K
turn			 K K K K
turnover			 K K K K
tutor			 U U U U
TV			 K K K K
twelve			 K K K K
twenty			 K K K K
twice			 K K K K
twin			 U U U U
twinkle			 U U U U
twist			 U N N N
two			 K K K K
type			 K K K K
typewriter			 U U U N
typhoon			 U N N N
typical			 K K K K
typist			 U U U N
ugly			 K K K K
ultimate			 K K K K
ultraviolet			 U U N N
umbrella			 K K K K
unanimous			 U U U N
uncle			 K K K K
uncover			 N N N N
under			 N N N N
underestimate			 K K K K
undergo			 K K K K
undergraduate			 K K K K
underground			 K K K K
underlie			 U U U U
underline			 K K K K
underlying			 K K K K
undermine			 U N N N
underneath			 U N N N
understand			 K K K K
understanding			 K K K K
undertake			 U N N N
undo			 N N N N
undoubtedly			 K K K K
uneasy			 U N N N
unemployment			 K K K K
unexpected			 K K K K
unfold			 K K K K
unfortunately			 K K K K
uniform			 K K K K
unify			 U U N N
union			 K K K K
unique			 K K K K
unit			 K K K K
unite			 K K K K
unity			 U U N N
universal			 K K K K
universe			 K K K K
university			 U N N N
unless			 K K K K
unlike			 K K K K
unlikely			 K K K K
unload			 K K K K
until			 K K K K
unusual			 K K K K
up			 K K K K
update			 K K K K
upgrade			 U N N N
uphold			 U U U U
upon			 U N N N
upper			 K K K K
upright			 U U N N
uproar			 U U U U
upset			 K K K K
upstairs			 K K K K
up-to-date			 K K K K
upward			 K K K K
urban			 K K K K
urge			 K K K K
urgent			 U N N N
us			 K K K K
usage			 K K K K
use			 K K K K
used			 K K K K
useful			 K K K K
usual			 K K K K
usually			 K K K K
utilize			 U N N N
utmost			 U N N N
utter			 U N N N
vacant			 U N N N
vacation			 U N N N
vacuum			 K K K K
vague			 K K K K
vain			 K K K K
valid			 K K K K
valley			 K K K K
valuable			 K K K K
value			 K K K K
valve			 K K K K
van			 U U N N
vanish			 U N N N
vanity			 U N N N
vapour			 U U U U
variable			 K K K K
variation			 K K K K
variety			 K K K K
various			 K K K K
vary			 K K K K
vase			 U U U U
vast			 K K K K
vegetable			 U N N N
vegetarian			 U U N N
vegetation			 U U N N
vehicle			 K K K K
veil			 U U U N
vein			 U U U U
velocity			 U U U U
velvet			 U U U N
ventilate			 U U U U
venture			 U N N N
verb			 U U U N
NULL			 K K K K
verbal			 U U N N
verdict			 U U U U
verge			 U U U U
verify			 K K K K
versatile			 U U N N
verse			 U U U U
version			 U N N N
versus			 K K K K
vertical			 K K K K
very			 K K K K
vessel			 U N N N
vest			 U U U U
veteran			 U U U U
veto			 U U U U
via			 K K K K
vibrate			 N N N N
vice			 U U N N
vicinity			 U N N N
vicious			 U U N N
victim			 K K K K
victory			 K K K K
video			 K K K K
view			 K K K K
viewpoint			 K K K K
vigorous			 U N N N
village			 K K K K
vinegar			 U U U U
violate			 N N N N
violence			 N N N N
violent			 N N N N
violet			 N N N N
violin			 K K K K
virgin			 U U U U
virtual			 N N N N
virtue			 U U U U
virus			 U U U U
visa			 K K K K
visible			 K K K K
vision			 K K K K
visit			 K K K K
visitor			 K K K K
visual			 K K K K
vital			 U N N N
vitamin			 K K K K
vivid			 K K K K
vocabulary			 K K K K
vocal			 U U U U
vocation			 U N N N
voice			 K K K K
void			 K K K K
volcano			 U U U U
volleyball			 K K K K
volt			 U U U U
voltage			 U U U U
volume			 K K K K
voluntary			 K K K K
volunteer			 K K K K
vote			 K K K K
vowel			 U U U U
voyage			 K K K K
vulgar			 U U U U
vulnerable			 U U U U
wage			 K K K K
wagon			 K K K K
waist			 U N N N
wait			 K K K K
waiter			 K K K K
waitress			 K K K K
wake			 K K K K
waken			 K K K K
walk			 K K K K
wall			 K K K K
wallet			 K K K K
wander			 U N N N
want			 K K K K
war			 K K K K
ward			 U U N N
wardrobe			 U U U U
warehouse			 U N N N
warfare			 U U N N
warm			 K K K K
warmth			 U U U U
warn			 K K K K
warrant			 K K K K
wash			 K K K K
waste			 K K K K
watch			 K K K K
watch			 K K K K
water			 K K K K
waterfall			 K K K K
waterproof			 U U U U
watt			 U U U N
wave			 K K K K
wax			 U U U U
way			 K K K K
we			 K K K K
weak			 U N N N
wealth			 K K K K
wealthy			 K K K K
weapon			 K K K K
wear			 K K K K
weary			 U U N N
weather			 K K K K
weave			 K K K K
web			 K K K K
wedding			 K K K K
wedge			 U U U U
Wednesday			 K K K K
weed			 U U N N
week			 K K K K
weekday			 K K K K
weekend			 K K K K
weekly			 K K K K
weep			 U U U U
weigh			 U N N N
weight			 K K K K
weird			 U N N N
welcome			 K K K K
weld			 U U U U
welfare			 K K K K
well			 U N N N
well-known			 K K K K
west			 K K K K
western			 K K K K
wet			 K K K K
whale			 U U U U
what			 K K K K
whatever			 K K K K
whatsoever			 K K K K
wheat			 U N N N
wheel			 K K K K
when			 K K K K
whenever			 K K K K
where			 K K K K
whereas			 U U N N
wherever			 K K K K
whether			 K K K K
which			 K K K K
whichever			 K K K K
while			 K K K K
whip			 U U U U
whirl			 U N N N
whisky			 U U U N
whisper			 U U N N
whistle			 U N N N
white			 K K K K
who			 K K K K
whoever			 K K K K
whole			 K K K K
wholesome			 U U N N
wholly			 U U N N
whom			 K K K K
whose			 K K K K
why			 K K K K
wicked			 N N N N
wide			 K K K K
widespread			 K K K K
widow			 K K K K
width			 K K K K
wife			 K K K K
wild			 K K K K
will			 K K K K
willing			 K K K K
win			 K K K K
wind			 K K K K
window			 K K K K
wine			 K K K K
wing			 K K K K
wink			 U U U U
winter			 K K K K
wipe			 U U U U
wire			 U U N N
wisdom			 K K K K
wise			 K K K K
wish			 K K K K
wit			 K K K K
witch			 K K K K
with			 K K K K
withdraw			 K K K K
withhold			 K K K K
within			 K K K K
without			 U N N N
withstand			 U U N N
witness			 K K K K
wolf			 K K K K
woman			 K K K K
wonder			 U N N N
wonderful			 K K K K
wood			 K K K K
wooden			 K K K K
wool			 U U U U
word			 U N N N
work			 K K K K
worker			 K K K K
workshop			 K K K K
world			 K K K K
worldwide			 K K K K
worm			 K K K K
worry			 K K K K
worse			 K K K K
worship			 K K K K
worst			 K K K K
worth			 K K K K
worthwhile			 K K K K
worthy			 K K K K
would			 K K K K
wound			 K K K K
wrap			 K K K K
wreath			 U U U U
wreck			 K K K K
wrench			 K K K K
wretched			 U U U U
wrinkle			 K K K K
wrist			 K K K K
write			 K K K K
writing			 K K K K
wrong			 K K K K
X-ray			 K K K K
yard			 K K K K
yawn			 U U U U
year			 K K K K
yearly			 K K K K
yell			 K K K K
yellow			 K K K K
yes			 K K K K
yesterday			 K K K K
yet			 K K K K
yield			 K K K K
you			 K K K K
young			 K K K K
youngster			 K K K K
your			 K K K K
yours			 K K K K
yourself			 K K K K
youth			 K K K K
zeal			 U U U U
zebra			 U U U U
zero			 K K K K
zigzag			 U U U U
zinc			 U U U U
zip			 K K K K
zone			 K K K K
zoo			 K K K K
zoom			 U U U U
